BALL|||||||||NUB||NUB|BD|NUB|BD|RPH||RPH||RPH||RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|5|9/30/24|2|25|RPH/NUB|RPH/BD|X||8|/|7|-|9|/|X||9|/|7|/|9|/|9|/|X||6|/||
LEAVE|||||||||||610||2410||2||||10||245||3||4||||36910|||
SCORE|||||||||20||37||44||64||84||101||120||139||159||179|||||
TYPE|||||||||||||split-1|split-2||||||||||||||||||
BOARD|||||||||pocket||high||light|left|light||pocket||pocket||light||high||pocket||pocket||high|||
LANE|||||||||25||26||25||26||25||26||25||26||25||26||26||26|
BALL|||||||||RPH||RPH|BD|RPH|RPH|RPH|RPH|RPH||RPH|BD|RPH|BD|RPH|RPH|RPH|RPH|RPH||RPH|NUB||
COUNT|Sr-Singles|Fa-24|5|9/30/24|3|26|NUB|RPH/BD|X||X||8|/|9|/|X||9|/|9|/|9|/|X||X||X||9|
LEAVE|||||||||||||24||2||||10||10||2||||||||2|
SCORE|||||||||28||48||67||87||107||126||145||165||195||224|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||pocket||light||light||pocket||pocket||pocket||light||pocket||pocket||pocket||light|
LANE|||||||||26||25||26||25||26||25||26||25||26||25||25||25|
BALL|||||||||NUB||NUB||NUB|RPH|NUB|RPH|NUB||NUB|BD|NUB|BD|NUB|RPH|NUB||NUB||NUB||NUB|
COUNT|Sr-Singles|Fa-24|6|10/7/24|1|27|RPH|BD/RPH|7|/|7|2|X||9|-|6|2|9|-|9|-|9|/|X||X||8|/||
LEAVE|||||||||3610||245|4|||2|2|2458|24|10|10|10|10|7||||||47|||
SCORE|||||||||17||26||45||54||62||71||80||100||128||148|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||high||light|right|pocket||light|right|light|right|pocket|right|pocket|left|pocket||pocket||pocket||h-pocket|||
LANE|||||||||27||28||27||28||27||28||27||28||27||28||28|||
BALL|||||||||RPH||RPH|BD|RPH||RPH|RPH|RPH|BD|RPH|BD|RPH|BD|RPH|RPH|RPH||RPH||RPH|BD||
COUNT|Sr-Singles|Fa-24|6|10/7/24|2|28|RPH|BD|X||8|/|X||X||X||X||9|/|9|/|9|/|X||X||X|
LEAVE|||||||||||25||||||||||10||10||10|||||||
SCORE|||||||||20||40||70||100||129||149||168||187||207||237|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||light||pocket||pocket||pocket||pocket||pocket||pocket||pocket||pocket||pocket||pocket|
LANE|||||||||28||27||28||27||28||27||28||27||28||27||27||27|
BALL|||||||||RPH||RPH|BD|RPH||RPH||RPH||RPH||RPH|BD|RPH|BD|RPH|BD|RPH||RPH||RPH|
COUNT|Sr-Singles|Fa-24|6|10/7/24|3|27|RPH|BD/RPH|X||9|/|X||X||6|2|9|/|7|/|7|2|X||7|2||||
LEAVE|||||||||||10||||||46710|610|7||258||245|5|||245|4||||
SCORE|||||||||20||40||66||84||92||109||126||135||154||163|||||
TYPE|||||||||||||||||split-1|split-2||||||||||||||
BOARD|||||||||pocket||pocket||pocket||pocket||nose||pocket||light||light|chop|pocket||light|right||||
LANE|||||||||27||28||27||28||27||28||27||28||27||28|||||
BALL|||||||||RPH||RPH|BD|RPH||RPH||RPH|BD|RPH|BD|RPH|RPH|RPH|RPH|RPH||RPH|RPH||||
